iter	Passed	Remaining
0	209	209395
1	271	135708
2	339	112979
3	400	99781
4	487	96931
5	555	92096
6	619	87816
7	677	83994
8	734	80854
9	804	79633
10	856	76962
11	916	75424
12	1002	76140
13	1058	74528
14	1113	73120
15	1178	72469
16	1220	70586
17	1272	69428
18	1328	68592
19	1389	68090
20	1448	67537
21	1547	68794
22	1611	68468
23	1673	68046
24	1742	67941
25	1803	67551
26	1857	66923
27	1912	66398
28	1981	66358
29	2073	67044
30	2151	67262
31	2215	67014
32	2260	66248
33	2301	65385
34	2365	65223
35	2393	64093
36	2448	63727
37	2508	63499
38	2563	63176
39	2627	63055
40	2719	63607
41	2795	63757
42	2860	63669
43	2941	63915
44	2988	63431
45	3027	62794
46	3069	62243
47	3119	61863
48	3193	61980
49	3248	61719
50	3347	62284
51	3415	62267
52	3522	62946
53	3619	63405
54	3664	62958
55	3723	62774
56	3768	62338
57	3824	62120
58	3885	61968
59	3974	62269
60	4013	61786
61	4062	61455
62	4107	61088
63	4136	60494
64	4186	60214
65	4231	59879
66	4266	59414
67	4317	59180
68	4390	59245
69	4473	59436
70	4537	59365
71	4577	58998
72	4626	58756
73	4693	58736
74	4747	58550
75	4818	58584
76	4890	58626
77	4961	58648
78	5012	58436
79	5065	58254
80	5132	58235
81	5178	57971
82	5238	57878
83	5296	57753
84	5375	57860
85	5420	57611
86	5494	57655
87	5555	57575
88	5592	57239
89	5633	56961
90	5702	56963
91	5779	57043
92	5817	56731
93	5884	56718
94	5969	56863
95	6015	56641
96	6084	56643
97	6148	56592
98	6201	56441
99	6280	56527
100	6365	56658
101	6429	56602
102	6507	56669
103	6555	56480
104	6611	56355
105	6680	56341
106	6755	56378
107	6830	56411
108	6886	56295
109	6954	56265
110	7002	56080
111	7082	56156
112	7155	56170
113	7218	56103
114	7274	55985
115	7354	56047
116	7409	55922
117	7509	56129
118	7560	55975
119	7626	55928
120	7705	55976
121	7802	56152
122	7876	56161
123	7947	56147
124	8010	56075
125	8077	56030
126	8127	55868
127	8208	55918
128	8255	55742
129	8308	55606
130	8358	55448
131	8399	55236
132	8485	55315
133	8543	55216
134	8589	55039
135	8650	54956
136	8724	54957
137	8805	55004
138	8885	55037
139	8952	54996
140	9017	54937
141	9090	54930
142	9174	54984
143	9248	54976
144	9317	54939
145	9381	54878
146	9477	54996
147	9547	54961
148	9620	54946
149	9680	54856
150	9747	54807
151	9816	54767
152	9875	54671
153	9954	54683
154	10010	54574
155	10100	54644
156	10160	54554
157	10238	54560
158	10323	54601
159	10380	54495
160	10437	54394
161	10495	54290
162	10545	54151
163	10613	54102
164	10704	54170
165	10753	54025
166	10837	54058
167	10896	53964
168	10939	53789
169	11013	53770
170	11084	53737
171	11145	53655
172	11212	53598
173	11275	53524
174	11343	53478
175	11412	53430
176	11482	53389
177	11533	53262
178	11604	53223
179	11696	53283
180	11750	53171
181	11804	53053
182	11885	53061
183	11942	52962
184	12026	52983
185	12080	52868
186	12170	52912
187	12230	52826
188	12280	52697
189	12340	52609
190	12418	52598
191	12466	52461
192	12556	52502
193	12628	52466
194	12707	52459
195	12789	52462
196	12866	52444
197	12924	52352
198	12991	52293
199	13062	52251
200	13125	52176
